Title,Description,Icon
Children's Ministry,"Nurturing young hearts in faith through Sabbath School, VBS, and family activities.",🧒
Youth Ministry,"Empowering the next generation through fellowship, Bible study, and community outreach.",🙌
Adult Sabbath School,"In-depth Bible study and discussion groups for spiritual growth and fellowship.",📖
Music Ministry,"Praise and worship through choir, instrumental music, and special musical programs.",🎵
Community Outreach,"Serving our local community through food drives, health programs, and evangelism.",🤝
Prayer Ministry,"A dedicated team committed to intercessory prayer for the church and community.",🙏
Health Ministry,"Promoting healthful living through cooking classes, health seminars, and lifestyle coaching.",💚
Media Ministry,"Managing livestreams, recordings, and digital content to share our message worldwide.",📹
Women's Ministry,"A supportive community for women to grow spiritually, fellowship, and serve together.",💜
Men's Ministry,"Building godly men through prayer, accountability, and service to the church and community.",⚔️
